titulo,spotify_url
"86: Eighty Six","https://open.spotify.com/playlist/38ecDVfgFhYCh9vauJNwGp"
"Ahiru no Sora","https://open.spotify.com/playlist/0vK7o8T8mG4Y9n1ChECXza"
"Akame ga Kill","https://open.spotify.com/playlist/0PQaPZdehXQroU5FgDBThj"
"Anime Gems","https://open.spotify.com/playlist/26faWsnq9PEzpOImFqkUbz"
"Ao Ashi","https://open.spotify.com/playlist/4Q2mzQo3PDgSq5HXDsV2kd"
"Ao no Exorcist","https://open.spotify.com/playlist/2As2Dr4q0iQzhbx6utZWbJ"
"Baki","https://open.spotify.com/playlist/7xADEuSkbrEFIzbz3xOFVE"
"Banana Fish","https://open.spotify.com/playlist/0zJf2SqYj4ZUkWBzy7iUbL"
"Black Butler","https://open.spotify.com/playlist/6EbE10ejtHtJwONbdZwCX4"
"Black Clover","https://open.spotify.com/playlist/3KuvokuxoMO60wewY0AU8p"
"Bleach","https://open.spotify.com/playlist/0KNSELX9yauK6lv27xllVR"
"Blue Box","https://open.spotify.com/playlist/3Ysa1AoO90efA8Lo4eTljz"
"Blue Lock","https://open.spotify.com/playlist/366pIMkoSJzG7MXn5NKXqq"
"Bocchi the Rock","https://open.spotify.com/playlist/53oIBHiZKYOPcboKsJtgbX"
"Boku no Hero Academia","https://open.spotify.com/playlist/7AVUmaysWTGhaNcxSdEaus"
"Boruto","https://open.spotify.com/playlist/6BIHD77iITKPM93gdtxGMV"
"Bungo Stray Dogs","https://open.spotify.com/playlist/1unbU5nC8dTX2egxn84SXa"
"Call of the Night","https://open.spotify.com/playlist/6pHcq1C62Eg6qVrC6UqX6Z"
"Chainsaw Man","https://open.spotify.com/playlist/1coAMjR5WNcObOjRfr7pAE"
"Code Geass","https://open.spotify.com/playlist/4twwR9yEgNQNUiWe2qOyMy"
"Cowboy Bebop","https://open.spotify.com/playlist/4X2vkkENH2iu2fcncdAucD"
"Dandadan","https://open.spotify.com/playlist/5m4FzcBEIANeNH3J4ho6Nd"
"Darker Than Black","https://open.spotify.com/playlist/1mHaM6BaTrcfsxXPgMtMSa"
"Death Note","https://open.spotify.com/playlist/0sIT4BLPHzbYgLldkpyzRQ"
"Diamond no Ace","https://open.spotify.com/playlist/69uo2UnmrH6E0TGhlCTwSS"
"Dr. Stone","https://open.spotify.com/playlist/5LP5wBwib2uYK19NF8ySGt"
"Durarara!!","https://open.spotify.com/playlist/4dEF66NZ6pkZeSVWqpSE9L"
"Erased","https://open.spotify.com/playlist/0PJRVmTJUB4Sj4n7iXIhJs"
"Eureka Seven","https://open.spotify.com/playlist/00cDgg8oV0Mq3HYYQrcl6G"
"Fairy Tail","https://open.spotify.com/playlist/3s6ydMwbXJHH8nTMQMoYYM"
"Fate/stay night: Unlimited Blade Works","https://open.spotify.com/playlist/5mXUXhuPlR2kU2KjXmQ4yS"
"Fire Force","https://open.spotify.com/playlist/7n4N5KmQM3fy725UJdzZS6"
"FMA","https://open.spotify.com/playlist/7shfzMICWjJXpwu2Zc8B0i"
"FMAB","https://open.spotify.com/playlist/75Slj8hhLY6kPKXtKiBU9G"
"Frieren","https://open.spotify.com/playlist/0RJ0NKDwr05AkSKRdEtgds"
"Gintama","https://open.spotify.com/playlist/4k5CSeHeezCEjVFxabBPaw"
"Given","https://open.spotify.com/playlist/4C2q0Mk6SITq0CByMptqei"
"Golden Kamuy","https://open.spotify.com/playlist/6DW3M4boXYozAtfYMGGTaX"
"Gurren Lagann","https://open.spotify.com/playlist/6ce5cPy0rz7Yz2zhKzXYO5"
"Haikyuu!!","https://open.spotify.com/playlist/467Ow975bYx9Lpvhlhv073"
"Hajime no Ippo","https://open.spotify.com/playlist/1p3LjrYk9adTxAhg6ZOBBL"
"Hell's Paradise","https://open.spotify.com/playlist/3lZzqWqDJfoZCRx5mDG9TA"
"Hunter x Hunter","https://open.spotify.com/playlist/792ifnSQ2evHS3mYg63bMT"
"Jujutsu Kaisen","https://open.spotify.com/playlist/0jQWVGWinLuEK27Aoj4k73"
"Katekyo Hitman Reborn!","https://open.spotify.com/playlist/2NBwgvNzTYYyTcd9fqD05f"
"Kekkai Sensen","https://open.spotify.com/playlist/0WVipiRR4bzTFCh7pFTyxx"
"Kimetsu no Yaiba","https://open.spotify.com/playlist/2o95l8RLNX7NDKuib2RsIn"
"Kingdom","https://open.spotify.com/playlist/372sgo3FxO7Ii8QLoFncOw"
"Kuroko no Basuke","https://open.spotify.com/playlist/66MTx7oJeTPwnXMQfa2GWz"
"Link Click","https://open.spotify.com/playlist/2XxlKSO1DZDn0NJSFtfnjA"
"Magi","https://open.spotify.com/playlist/6Wh8Qe02tMOfxwpkdZ6sJO"
